54.39129	89	1
106.08242	208	1
111.49461	151	1
72.24148	117	1
74.05224	183	1
96.9835	248	1
89.10682	236	1
79.78419	223	1
79.74946	235	1
51.11262	163	1
80.0885	248	1
107.68283	275	1
93.34084	231	1
193.48852	365	1
106.45027	197	1
86.39905	162	1
81.33756	153	1
100.81779	185	1
100.35998	191	1
96.27711	185	1
84.49489	166	1
68.78227	142	1
48.44113	108	1
50.76767	118	1
508.29179	501	0
569.04524	529	0
691.91862	608	0
638.31393	545	0
586.4709	419	0
790.98935	607	0
802.10765	599	0
740.02343	577	0
785.37801	641	0
803.86314	654	0
739.43745	623	0
625.96652	570	0
824.60141	570	0
674.91429	407	0
707.99345	390	0
764.65651	472	0
536.39569	369	0
655.62108	357	0
460.92158	306	0
517.69125	267	0
616.20765	321	0
523.41866	304	0
358.40897	236	0
401.04045	290	0
