5439.129	27294	34068	3406.8	2828.968	89	83	1
10608.242	12441	38678	3867.8	1090.019	208	44	1
11149.461	32123	41549	4154.9	1305.69	151	40	1
7224.148	18006	43947	4394.7	575.804	117	28	1
7405.224	5387	35172	3517.2	601.283	183	32	1
9698.35	4788	34359	3435.9	870.089	248	37	1
8910.682	3557	34233	3423.3	567.929	236	35	1
7978.419	2482	33298	3329.8	427.373	223	33	1
7974.946	1983	31905	3190.5	297.961	235	35	1
5111.262	1754	29615	2961.5	303.653	163	26	1
8008.85	3382	28859	2885.9	474.951	248	41	1
10768.283	10827	28375	2837.5	2452.199	275	55	1
9334.084	9289	34669	1890.854	8263.21	231	50	1
19348.852	12013	40986	6019.355	13329.497	365	79	1
10645.027	6674	47346	1254.156	9390.871	197	44	1
8639.905	4258	48982	920.865	7719.04	162	35	1
8133.756	5524	47472	965.33	7168.426	153	31	1
10081.779	5390	49004	969.727	9112.052	185	39	1
10035.998	2979	49669	547.511	9488.487	191	40	1
9627.711	3244	48709	736.23	8891.481	185	37	1
8449.489	3622	47321	767.697	7681.792	166	33	1
6878.227	1937	46514	379.243	6498.984	142	26	1
4844.113	1305	43709	327.865	4516.248	108	19	1
5076.767	1407	41558	202.938	4873.829	118	21	1
50829.179	35542	66012	6601.2	10458.333	501	700	0
56904.524	40190	67455	6745.5	13194.636	529	717	0
69191.862	41077	72670	7267	15276.204	608	779	0
63831.393	53338	63711	6371.1	15735.65	545	784	0
58647.09	78996	60834	6083.4	20189.942	419	754	0
79098.935	49037	81257	8125.7	23173.784	607	812	0
80210.765	48641	85293	8529.3	19574.37	599	806	0
74002.343	46358	81942	8194.2	18669.511	577	775	0
78537.801	41413	81147	8114.7	19986.444	641	789	0
80386.314	41882	81029	8102.9	18381.705	654	777	0
73943.745	40570	78108	7810.8	17016.672	623	628	0
62596.652	37491	72407	7240.7	14309.139	570	324	0
82460.141	61606	88856	10927.401	74905.14	570	147	0
67491.429	72794	93218	7508.202	59983.226	407	80	0
70799.345	83483	98173	1751.128	69048.217	390	352	0
76465.651	56173	105754	-2979.136	79444.787	472	698	0
53639.569	53252	91977	5400.334	48239.235	369	787	0
65562.108	85261	98425	4028.147	61533.961	357	849	0
46092.158	61607	89109	6243.53	39848.628	306	902	0
51769.125	111475	82137	14820.48	36948.645	267	873	0
61620.765	100591	91644	14882.031	46738.734	321	826	0
52341.866	61984	110285	10756.417	41585.449	304	866	0
35840.897	38709	113261	6923.211	28748.093	236	837	0
40104.045	36571	101648	9993.235	30110.95	290	775	0
