3406.8	2828.968	1
3867.8	1090.019	1
4154.9	1305.69	1
4394.7	575.804	1
3517.2	601.283	1
3435.9	870.089	1
3423.3	567.929	1
3329.8	427.373	1
3190.5	297.961	1
2961.5	303.653	1
2885.9	474.951	1
2837.5	2452.199	1
1890.854	8263.21	1
6019.355	13329.497	1
1254.156	9390.871	1
920.865	7719.04	1
965.33	7168.426	1
969.727	9112.052	1
547.511	9488.487	1
736.23	8891.481	1
767.697	7681.792	1
379.243	6498.984	1
327.865	4516.248	1
202.938	4873.829	1
6601.2	10458.333	0
6745.5	13194.636	0
7267	15276.204	0
6371.1	15735.65	0
6083.4	20189.942	0
8125.7	23173.784	0
8529.3	19574.37	0
8194.2	18669.511	0
8114.7	19986.444	0
8102.9	18381.705	0
7810.8	17016.672	0
7240.7	14309.139	0
10927.401	74905.14	0
7508.202	59983.226	0
1751.128	69048.217	0
-2979.136	79444.787	0
5400.334	48239.235	0
4028.147	61533.961	0
6243.53	39848.628	0
14820.48	36948.645	0
14882.031	46738.734	0
10756.417	41585.449	0
6923.211	28748.093	0
9993.235	30110.95	0
